LANGUAGE es
COUNT 189
ref_label | Ref: | Ref: | TRANSLATE
shipment_updates_tag | ✈️ Real-Time Cold-Chain Logistics | ✈️ Real-Time Cold-Chain Logistics | TRANSLATE
shipment_updates_title | Global Shipment Updates | Global Shipment Updates | TRANSLATE
shipment_updates_desc | Live dispatch and delivery updates for analytical-grade research peptide orders shipped to international research laboratories worldwide. | Live dispatch and delivery updates for analytical-grade research peptide orders shipped to international research laboratories worldwide. | TRANSLATE
privacy_notice_label | Privacy Notice: | Privacy Notice: | TRANSLATE
privacy_notice_text | Tracking numbers and customer addresses are partially hidden for privacy and security. | Tracking numbers and customer addresses are partially hidden for privacy and security. | TRANSLATE
sealed_export_parcel | HPLC Sealed Export Parcel | HPLC Sealed Export Parcel | TRANSLATE
cold_chain_active | Cold-Chain Temperature Logger Active | Cold-Chain Temperature Logger Active | TRANSLATE
status_processing | Processing | Processing | TRANSLATE
status_dispatched | Dispatched | Dispatched | TRANSLATE
status_in_transit | In Transit | In Transit | TRANSLATE
status_delivered | Delivered | Delivered | TRANSLATE
status_issue | Issue | Issue | REVIEW
shipped_date | Shipped Date | Shipped Date | TRANSLATE
estimated_delivery | Estimated Delivery | Estimated Delivery | TRANSLATE
no_shipments_title | No Global Shipments Published Yet | No Global Shipments Published Yet | TRANSLATE
no_shipments_desc | Check back soon for live international dispatch and tracking logs. | Check back soon for live international dispatch and tracking logs. | TRANSLATE
global_trust_signal | Global Trust Signal | Global Trust Signal | TRANSLATE
trusted_by_clients | Trusted by Clients Worldwide | Trusted by Clients Worldwide | TRANSLATE
trusted_by_clients_desc | Real feedback from approved wholesale peptide buyers, analytical teams, and international clients who depend on consistent quality and responsive export support. | Real feedback from approved wholesale peptide buyers, analytical teams, and international clients who depend on consistent quality and responsive export support. | TRANSLATE
approved_badge | Approved | Approved | TRANSLATE
view_all_reviews | View All Reviews | View All Reviews | TRANSLATE
verified_testimonials | Verified Global Testimonials | Verified Global Testimonials | TRANSLATE
client_reviews_title | Client Reviews & Laboratory Feedback | Client Reviews & Laboratory Feedback | TRANSLATE
client_reviews_desc | Trusted by wholesale peptide customers, research labs, aesthetic clinics, and international scientific buyers seeking consistent quality, transparent communication, and reliable global delivery. | Trusted by wholesale peptide customers, research labs, aesthetic clinics, and international scientific buyers seeking consistent quality, transparent communication, and reliable global delivery. | TRANSLATE
share_experience_tag | CLIENT FEEDBACK | CLIENT FEEDBACK | TRANSLATE
share_experience_title | Share Your Experience | Share Your Experience | TRANSLATE
share_experience_subtitle | We value feedback from analytical laboratories, research partners, and wholesale buyers worldwide. | We value feedback from analytical laboratories, research partners, and wholesale buyers worldwide. | TRANSLATE
customer_name_label | Your Name / Organization * | Your Name / Organization * | TRANSLATE
customer_name_placeholder | e.g. Dr. Alex Morgan / Apex Biotech | e.g. Dr. Alex Morgan / Apex Biotech | TRANSLATE
country_label | Country / Region (Optional) | Country / Region (Optional) | TRANSLATE
country_placeholder | e.g. United States, Germany, Singapore | e.g. United States, Germany, Singapore | TRANSLATE
rating_label | Rating Grade * | Rating Grade * | TRANSLATE
